Time,swd_1,swu_1,lwd_1,lwu_1,batt_v_0,t_0,rh_0,p_0,swd_0,swu_0,lwd_0,lwu_0,SHF,LHF,Tc1,wspd_0,Tc2,wdir_0,batt_v_1,rh_1,rh_2,rh_3,rh_4,rh_5,t_1,t_2,t_3,t_4,t_5,wspd_1,wdir_1
2023-09-22 10:00:00,357.1503,82.9991,340.6182,394.1166,4.5075,15.46,77.31,1001.8,332.2,77.7,356.85,409.15,46.3848,173.25,-999,1.454,-999,179.85,12.9783,74.4961,74.7612,73.0722,73.8642,74.226,15.2706,15.1284,15.5552,14.7117,15.174,1.2986,60.518
2023-09-22 11:00:00,572.5756,143.9354,336.6604,406.8087,5.224,16.96,72.105,1001.85,545.95,138.65,354.55,422.8,77.8602,246.125,-999,1.3525,-999,183.3,13.428,68.7225,68.9122,66.9128,68.039,68.4135,16.5876,16.4465,17.0086,16.039,16.4685,1.3786,69.074
2023-09-22 12:00:00,418.9475,102.2832,335.717,401.3128,5.2325,17.315,68.13,1002.45,400.2,101.4,354.0,418.6,53.5634,224.125,-999,1.255,-999,184.65,13.4902,63.5516,63.6444,61.5452,62.8246,63.2815,17.0774,16.9322,17.6127,16.5292,16.9682,1.2252,61.7534
2023-09-22 13:00:00,257.8571,62.1501,351.6094,396.217,5.232,17.075,69.555,1002.7,248.55,63.6,368.45,412.6,18.7748,118.25,-999,0.864,-999,193.4,13.3213,64.8482,64.913,63.1714,64.161,64.516,16.8834,16.772,17.3146,16.33,16.8104,0.8604,88.3043
2023-09-22 14:00:00,171.676,42.0122,352.113,390.4824,5.2385,16.53,71.045,1003.05,167.35,44.1,368.5,406.6,9.3874,92.125,-999,0.8945,-999,235.3,13.066,66.3078,66.368,64.6914,65.6086,65.9095,16.4752,16.3553,16.8468,15.9158,16.4077,0.8623,135.7154
2023-09-22 15:00:00,159.8519,39.4128,356.3986,389.37,5.2475,16.175,72.255,1003.35,155.55,41.75,372.8,405.05,4.4176,90.75,-999,0.801,-999,198.6,13.067,68.0266,68.1088,66.3,67.4025,67.6694,16.11,15.9972,16.4932,15.5308,16.0314,0.7676,82.1456
2023-09-22 16:00:00,56.423,14.6483,350.5386,381.5504,5.2535,15.185,79.58,1003.5,56.45,17.6,365.95,396.5,-5.522,35.75,-999,0.468,-999,147.9,12.7657,76.8068,76.9575,75.4682,76.2684,76.3727,15.1942,15.1032,15.4512,14.6165,15.1524,0.4326,11.9879
2023-09-22 17:00:00,18.5858,5.7062,349.7579,377.2098,5.239,14.625,82.295,1003.65,20.1,8.7,364.75,391.7,-4.4176,13.75,-999,0.2035,-999,147.55,12.6254,79.5018,79.6926,78.3242,78.9605,79.0125,14.7198,14.6345,14.9318,14.1588,14.7048,0.2022,20.612
2023-09-22 18:00:00,-1.2529,1.6281,358.2972,374.6532,5.1965,13.89,88.08,1004.2,1.4,4.85,375.75,388.6,-3.3132,41.25,-999,0.097,-999,139.75,12.5098,86.5938,86.8766,85.3592,86.1642,86.2648,14.0222,13.9378,14.1773,13.4568,13.9755,0.0894,4.7196
2023-09-22 19:00:00,-1.1922,1.8802,362.6244,373.4432,5.16,13.42,91.005,1004.9,1.35,5.1,377.7,387.15,-5.522,13.75,-999,0.5415,-999,237.7,12.4248,90.1166,90.3284,89.4217,89.7716,89.675,13.561,13.4775,13.6498,12.9808,13.5062,0.5398,130.5789
